score	review
5	Trying for first time to experience wonderful holiday in Marriott Yogya and surprisingly turn out to be wonderful for our family there.   It was great to see how they claimed themselves as Five Star Hotel with Five Star standard from Services, Quality of Breakfast, Facilities and speed of their staffs.   Pleasure place to come back again for holiday or business. 
5	I had a very enjoyable and restful stay here, over a week in December. The staff were great, with the Executive Lounge staff particularly good. The breakfast was excellent. The staff throughout the hotel were (mostly) excellent ---I was a little disappointed with the hotel's inability to coordinate a business meeting for me (between not understanding how and then taking too long to try to arrange it). Apart from this, though, it was an outstanding stay. Strongly recommend.
5	I am writing this review on behalf of my mom. She spent two nights in this hotel with my father and my sister's family. The hotel is modern, relatively new, with huge rooms and hollywood type of single beds. The bathroom is clean and spacious enough. But what matters most is the housekeeping and kitchen service: a prompt response and attentive. Keep up the good work, guys!
4	Stayed here on October on business trip. This hotel has everything for you : a very nice and beautiful room, very good breakfast, nice location beside a huge shopping mall, and most of all, a huge and so beautiful swimming pool on the roof. It's fantastic !  Hope to have a chance to stay again one day at Marriott Yogya ! Good job guys !
4	It’s a beautiful and big hotel in Yogyakarta. This hotel is next to a shopping mall so it’s very convenient if someone is looking for places to eat with food court and nice restaurants. Check in was fast. The hotel is very nice and beautiful. If you have a Marriott status beyond Gold you can eat breakfast at the M lounge or/and at the restaurant. There’s not much of choices at the lounge but the restaurant has many choices. Food at the restaurant:The broth for the noodles soup wasn’t consistent one day was great other day was so bland. Some servers don’t understand English well and one out of 4 days I was there, I had to wait almost 30 minutes for my tea after repeatedly asking for my tea several time The M lounge doesn’t have much choices for either food or desserts and they…
5	The hotel is very nice and new. Big room and bed and they also have big sofa in the room. Very good for family visit. Behind big mall (Hartono Mall). Good swimming pool. Very rcommended to stay here when visit Jogja.
5	Stayed with two kids for 4 nights. Enjoyed every bit of my stay from Checkin to check out. The staff are very courteous and cordial. The breakfast was excellent.  Rooms are spacious and clean. Both restaurants are great. Especially liked the pizza and other menu of Taman Sari. Pool is big and clean. Spa was also very nice. All in all a excellent stay....
4	Good: + Platinum member upgrade to suite with pool view + Breakfast Buffet + M Lounge, all food, drinks and staff were great. I mean staff I barely interacted with addressed me by name (!) amazing. + Calling the nurse when I got sick and helping me get some food.  I really want to give 5 stars, but some areas need to highlight. Bad:  - Dirty bath towel, this was raised with housekeeping and staff has genuinely apologised - which I appreciate. I feel this was a one-off and not the norm. - Almost need to fight for published benefits. I booked a rate that gave up to 15% F+B credit per night, at first I suspected a mis-communication for the refusal. Only after firmly, but politely showing the T+C on the Marriott website did they accept.  - Bonus points still not posted to my account…
5	I would highly recommending this hotel as excellent services provided by the team right from check in to M Club staff, the staff that particular to mention, Sofien in the M Club and Ridwan, duty manager as well as the front desk team, Carolina and Aya. Thx for looking after me during my stay in this excellent hotel.
5	Stayed for 3 nights. Loves the spacious room and comfortable bed. View was nice with a bit of city view and mountains at the back.  We particularly enjoyed the pool very much. 4 pools for different age group hence I have uninterrupted laps at adult pool. Jucuzz jet is av at all 3 pools just nice to relieve back, leg and calfs muscleache.  Breakfast was yummy, I  particularly love the jamu and the Waffle and French toast. Must try.
3	As a Bonvoy Titanium member, I booked 2 rooms for family vacations in Yogyakarta. Using Suite Award, one of the room was upgraded with a connecting room. The rooms are fantastic. I guess partly the hotel overall is fairly new.  Why I am giving this only a 3 star is because of couple of things :  1) The M Lounge - I don't think it lives up to Marriott Lounge Standard. This looks like Courtyard by Marriott at MOST. I have enjoyed a better service of Courtyard By Marriott in India - Yes, India, Not Indonesia.  2) Some of the staff, does not behaves like serving guests in 5* Marriott. Sorry to say, this is not even hitting the basic of 5*. This is especially at the back office. Ther are fairly arrogant to spell out the ground rules - Is that how they treat someone who gives 100…
5	Great hotel n great services large swimming pool n good food. Breakfast was awesome! So many variaties.  Swimming pool also good. They have kids pool and adult pool. Fitness room was nice. The club lounge was ok with free drinks. But the food and snack was until 8.00 pm only (I think this should be reconsidered by the management). Location was good... just beside the hartono mall (the biggest mall in jogja). Staffs were friendly and helpful.
5	Wow, Western hotels in Asian countries are very true at being nice lodging options for a relatively cheaper price than what you would pay in the States. As this was probably one of the nicest Marriott hotels I’ve ever stayed at, I had a very nice and pleasant experience and would recommend guests to consider this hotel for your lodging option in Yogyakarta.  The hotel is located northwest of the airport less than 4 miles, took maybe 20 minutes by car. The hotel is in a very good location, adjacent to the Hartono Mall which I think is one of the bigger shopping malls in Yogyakarta.   Hotel staff were all very friendly and quick to smile and help. What I like about hotels here in Asia is that they acknowledge you for being a Marriott elite member. Even being Silver back in the…
5	The room was spacious, beautiful, and clean. What I like the most was the bed.. they were big enough to fit 1 child and 1 adult. We booked for twin room and the bed size was 160x200m per bed!  Breakfast was awesome! So many variaties.  Swimming pool also good. They have kids pool and adult pool. Fitness room was nice. The club lounge was ok with free drinks. But the food and snack was until 8.00 pm only (I think this should be reconsidered by the management). Location was good... just beside the hartono mall (the biggest mall in jogja). Staffs were friendly and helpful.  Cons: no sauna and steam room.  
5	I've been coming to the Mariott in Jogja for almost 2 years. The rooms are big, the breakfast buffet is excellent and most importantly, the service. At M lounge, Sofie, Dicie, Iin and their colleagues have amazing service. I come here every 2-3 mths and the Mariott is the only place we choose to stay at. Thanks so much everyone. 
5	Im stay here for a night, and this is a perfect hotel Bcoz i book the room with M Club which is we can try all u can drink coctail with perfect sidedish. Last but not least, Sofie help us to stay here, she so kind give us late check out for the next day. Overall PERFECT hotel
5	My husband and I had an excellent stay in Yogyakarta Marriott Hotel. The room and facilities are modern, spacious and well-equipped. The check-in and check-out process by Citra and Sofie were seamless. There was a wide spread of both western and local food at the breakfast buffet, and the staff (Cindy and another trainee) offered to make healthy tea and juice for us. The staff also prepared breakfast boxes for us the morning we were headed to the Borobodur Sunrise Tour. The hotel is also conveniently located next to Hartono Mall, where there is a CGV cinema and plenty of food options (we loved Pawon’e). We will definitely stay here if we visit Yogyakarta again!
5	Excellent associates,friendly also super polite. The hotel is located next to shopping mall. Great room, breakfast buffet is very diverse. Yudha at the Concierge is very attentive, helpful and looked into details in assisting for ground transfers, some routes, local & traditional entertainment & restaurants.
5	Good to be back and always happy when met all the peoples in Yogyakarta Marriott Hotel. All the staff are all the stellar! Room, food and all the facilities could bring you to the next step of great stay. One of the best marriott hotel in Asia, overall experience, more than satisfied.  Thank you Yogyakarta Marriott Hotel
4	I went to Yogyakarta for business purpose. I feel satisfied staying at Yogyakarta Marriot hotel. The room was ready before checkin time. It has beautifull infinity pool and good gym. The room was spacious with nice design. If you feel bore just walk to hartono mall. 
5	Staying at this hotel is one of the most memorable stays my wife and I have ever had. My wife and I didn't have much expectation seeing how it was a category 2 Marriott hotel but wow did it blow us away.   We have stayed at some luxury collection hotels but the service we received at this hotel supercedes in comparison to any other hotel we have stayed at. From the staff that assisted is in checking in, cleaning the rooms, assisting us in the lounge, and also in the kitchen every single person was genuinely kind and eager to help.   We had no issues with food eventhough we were vegetarian. The kitchen staff went above and beyond to make sure we were well taken care of due to our dietary restrcitons. For example, in the lounge the chef, Anastasia, was always available to give us…
5	The Marriott Yogyakarta is an outstanding hotel in a very interesting city. The rooms are new, up to date,  and very comfortable. The pool and exercise area are spacious, well designed, and meticulously maintained. The hotel also is well situated to have easy access to the city. However, what really separates this hotel from others is the staff. In my 40 years of travel I have never encountered such a welcoming, attentive and professional staff. Whether it be at the front desk, either of the 2 restaurants on site, laundry service or pool/exercise area everyone was professional and there to help. In the restaurants the food was some of the best we encountered in all of Yogyakarta. Additionally, staff including Uji, Putri and Jared are truly exceptional individuals who went out of…
4	I enevr stayed in Marriott Yogya, but I had a few meetings there. The coffee break is good, but the pastry wasn't that good. The dinner is awesome, luxury thing that you can afford. The banquet staff weren't that friendly but I don't really care, as long as the meeting room is nice and cool.
5	Stayed over 1 night at this Marriott, a great base to explore the city. The hotel is connected to Hartono Mall, which I think is the best mall in Yogyakarta currently. The hotel is truly modern and up to par with the newer Marriott hotels overseas. Check in was swift & friendly. We were given a room on the 2nd floor right beside their infinity pool. The room is spacious and love the design & color tone of the room. Bathroom is spacious as well & comes with shower only. Breakfast buffet has great selections of food and nice ambiance. But the most outstanding thing about the hotel is the staff, their staffs are very attentive, friendly without being to obtrusive. Truly 5 star!
5	It was a super nice hotel with super nice people I had while staying here. The location is super nice (right next to Hartono Mall). The pool is super wide and best to enjoy sunset.  The room is super grande! I order for twin bed, even fit for 4 person :p the bathroom super nice and relaxing.  The breakfast? I cant complain, best one! The staff are super nice and make sure I was happy and full lol.
5	The Jogja Marriott hotel lived up to our  high expectations of a Marriott brand. The hote has a large and impressive entrance. The check-in staff was very polite and efficient. We had booked multiple rooms and they gave us connecting rooms for our families which made a huge difference to us. The check-in experience  clued us into the wonderful service we were going to experience during our stay.  We stayed at the hotel for 2 nights and the service at the hotel, without exception, was excellent. Whenever we made any requests of the staff they went out of their way to satisfy them. The hotel staff made us feel special. The concierge staff helped us with our tours and travels around Jogja and those arrangements were top notch.  Our rooms overlooked the beautiful hotel pool. The…
5	This is our third stay at the Marriott Yogyakarta and have nothing but praise to write.  It seems each visit the hotel simply gets even better.  The hotel is strategically located beside the gigantic Hartono Mall that makes shopping an appreciated convenience.  The center of town is approximately a 15-20 minute drive depending on traffic.  All the staff, from front desk, lobby entrance, restaurant, housekeeping, security are polite, friendly, and always willing to provide assistance.  The rooms are very modern, spacious, and immaculately clean.  The bathrooms are contemporary with beautiful marble floors and modern sliding doors.  Our room overlooked a large swimming pool. Breakfast is a lavish smorgasbord of foods from Indonesian, other southeast Asian, to Western specialties…
5	The staff tried its best to accommodate our requests (upgrade for Marriott Platinum guest for example) and was extremely polite throughout our stay. The room was spacious, clean and comfortable. The breakfast buffet was fantastic.
5	This is my first visit to Yogjakarta and I chose to stay at the Marriott here. The hotel is celebrating its second anniversary so it is fairly new. The biggest standout for me is the friendliest staff I've ever encountered in all the Marriott properties I've stayed to date. Nothing is too much trouble and they remembered our names... the drinks that we like and ever so attentive.  The room is spacious and comfortable. The bath tub is enormous and one could enjoy a bath while enjoying the sunset!  Food at the kitchen is average and probably can be improved upon but the choices is plentiful.  The Quan Spa is very good. Marriott members get discount of 10% to 20%, depending on the category of membership.   I enjoyed my stay very much and would highly recommend it. 
5	I thing this hotel is The best and newest hotel in jogja right now. I live with family in this hotel and we like it,our room is big enough,the breakfast is good,the swimming pool is good..not far from the airport too
5	I had a pleasant stay here. from the moment I walked in,  the service was excellent. From the breakfast, to the M club everything was excellent, especially Ms Anitha and the team. Definitely will revisit!
5	Let's begin by saying that there is nothing negative to write about this hotel. Literally everything was perfect. Location was perfectly placed beside Hartono Mall which makes grocery shopping a breeze. We arrived at the hotel at around 1030am or so, which was a very weird time to check in. Of course, we emailed prior to arrival for an early-check in and surprisingly, we were able to get a room about 20 minutes after arriving. To make it even sweeter, they were really kind enough to decorate our room with a romantic setting for our wedding anniversary.  All the staffs, from front desk, lobby entrance, restaurant, housekeeping, security and swimming pool staffs were really polite and friendly, always with a smile on their faces. Room was clean and spacious with a very modern…
5	Nice hotel, friendly staff, good location, next to mall so you can go shopping, find something to eat or just walking around. The room is big and have a quite big sofa in it so if you stay with your kids no need extra bed. Breakfast is nice and there are many variants of food.
5	Couldn't fault this hotel. The staff are so accomadating, food excellent and great value. Special mention to Anita in the restaurant who looked after us so attentively. The swimming pool is a big plus and excellent place to relax when the sun goes down.
5	I’m very happy to stay in Marriott because the staff are truly nice and kind with all my family! Thank you for the housekeeper specially Ibnu, every morning and every evening who make my day happy ! They are all caring and attentive with us. The staff on the restaurant Yogyakarta Kitchen are also kind: Dana, Havidz, Anita... ALL STAFF !! We love the staff and I think I come back next year. Thank you for everything.  Irna from New Caledonia in French Pacific Island. IG: Crazy.Aoky
5	I'm just stopping by for meeting with my colleagues then Joining for buffet dinners. The room was extremely comfy. The pool views are beautiful. The food was delicious and so many choices. The pasta was great even I'm reorder it again. Havidz are really great he knews how to made us comfort with all services and also for others staff they are educated so polite and must be well trained. Definitely I'll be back in close period time.
5	I stayed 1 night, had dinner and breakfast,the room has spacious, very soft pillows and bed, the cleanliness was excellent also the attendants  named, Arin,Tiya and Ira kindly assists everything what i need during i stayed.. thankyou very much, i can't wait to had another wonderful experience at this Hotel again.
5	This is my third stays in the past year.  Strong elite recognition with very friendly staffs.  Good club lounge with good selection of food and drinks during evening cocktails.  Breakfast was rather busy on Sunday but they opened the door between the restaurant and the lounge to easy the traffic.  I think I don't need to repeat what I have said on my previous review.  Definitely will go back to this hotel when I am in town.  
5	Everything superb here, from check in, FnB, Rooms, Gym, Pool.. for sure will comeback again here.  All the staff are well educated and friendly. Breakfast menu are too much variety and all food are delish tasty. Keep up ur good work all. Thumbs up!!!!
5	We stayed here for a week and were sad we were leaving. The hotel has a friendly and personal approach which makes you feel really welcome. The restaurant has amazing food and the staff makes sure you get full service. A special thanks to staff members Havidz (restaurant) and the people from the front desk. You are very professional and know what hospitality is all about. Good job !  The rooms are beautiful and clean.  We will for sure book this hotel again when we come back to Yogja.  Terima kasih banyak ! 
5	We have visit many hotels in Indonesia but a hotel with this kind of service is unique. The staff of this hotel is so well trained that they know exactly what you want to be treated. My compliments goes specially to Havidz from the breakfast and Hadi from the gym and swimming pool. They did a really great job and in hope that the hotel management give them also credits for doing a great job to give the guests a great feeling. I want to thank the guy from the front desk that help us to booked a room for my friend from Yogyakarta to feel the same experience.  For al the people in the world who are looking for a great hotel in Yogyakarta, don’t look further you find the place to be.  
4	We booked the club room for 3 nights when attending a family wedding. We were excited that it is located next to a shopping mall as we have a toddler traveling with us. The room is very nice, very modern styled, bathroom is super spacious. The pool is also nice for adults and kids although it could use more greeneries. It is a very new hotel so maybe that why the don't have enough big trees yet. We had a hard time rinsing off after a pool time cause we had to walk all the way to their gym toilet to get changed and shower. The AC is very cold, not suitable for trying to get little children cleaned up after a swim. We didn't see any outdoor shower near the pool. No kids club so you will need to get to the mall for kids entertainment. The hotel is more for business type guests I…
